key,time
k,60743
s,60888
k,61078
s,61218
l,61393
a,61541
l,61720
a,61870
l,62071
k,62076
s,62237
l,62417
k,62422
s,62575
l,62745
s,62902
l,63090
s,63252
l,63397
s,63423
a,63571
l,63747
s,63761
a,63927
a,64110
k,64170
s,64319
k,64496
s,64633
k,64776
s,64936
k,65097
s,65241
k,65398
k,65729
k,66070
k,66384
k,66703
s,66716
s,67071
k,67072
k,67424
s,67431
s,67726
k,67757
k,68040
a,68057
l,68253
a,68410
k,68413
l,68588
k,68754
a,68755
l,68944
a,69074
k,69118
l,69313
s,69463
k,69770
s,70095
k,70405
s,70722
l,70739
a,70921
l,71095
s,71097
a,71287
l,71455
s,71466
a,71634
s,71786
l,71792
a,71951
k,72121
s,72430
l,72772
s,73079
l,73393
s,73406
k,73578
s,73755
l,73757
k,73943
l,74102
s,74105
k,74278
s,74434
l,74440
k,74574
s,74743
k,75095
s,75408
k,75726
a,76054
k,76076
s,76256
k,76420
a,76424
s,76627
a,76775
k,76780
s,76956
a,77094
k,77105
s,77238
l,77398
s,77715
k,78047
a,78400
l,78723
s,78737
k,78923
a,79087
l,79090
k,79274
s,79440
l,79453
k,79637
a,79779
l,79796
k,79941
s,80097
l,80113
k,80452
a,80471
l,80763
s,80765
k,81078
a,81081
l,81398
s,81404
k,81579
a,81744
l,81749
k,81919
s,82077
l,82090
k,82257
l,82414
a,82429
k,82587
s,82752
k,83078
a,83407
l,83727
a,84035
l,84042
k,84237
s,84406
l,84425
k,84623
a,84769
l,84782
k,84960
s,85095
l,85122
k,85263
a,85418
l,85429
s,85752
k,86073
a,86374
l,86729
s,86736
k,87050
a,87058
s,87401
l,87406
a,87737
k,87739
l,88066
s,88078
k,88422
s,88772
k,89083
a,89427
l,89429
k,89752
s,89761
l,90072
a,90078
k,90414
s,90423
a,90741
l,90745
l,90916
a,90933
k,91090
s,91106
k,91266
s,91282
l,91434
a,91439
l,91603
a,91627
k,91771
s,91792
k,91936
s,91956
l,92095
s,92252
l,92427
s,92567
k,92743
a,92906
k,93105
a,93251
l,93400
a,93585
l,93760
a,93890
k,94085
s,94237
k,94397
s,94543
a,94741
s,94910
k,95060
l,95227
l,95429
k,95569
s,95726
a,95871
l,96065
l,96249
a,96401
a,96587
l,96737
a,97076
a,97387
a,97720
a,98067
a,98379
a,98699
